key,economy,year,score
INVESTMENT,ALB,2024,3.63
INVESTMENT,BIH,2024,2.79
INVESTMENT,KOS,2024,3.44
INVESTMENT,MNE,2024,3.38
INVESTMENT,MKD,2024,3.19
INVESTMENT,SRB,2024,4
INVESTMENT,WB6_AVG,2024,3.4
TRADE,ALB,2024,4
TRADE,BIH,2024,3.56
TRADE,KOS,2024,4.1
TRADE,MNE,2024,3.9
TRADE,MKD,2024,4.1
TRADE,SRB,2024,3.83
TRADE,WB6_AVG,2024,3.91
FINANCE,ALB,2024,3
FINANCE,BIH,2024,2.49
FINANCE,KOS,2024,2.26
FINANCE,MNE,2024,3
FINANCE,MKD,2024,2.86
FINANCE,SRB,2024,3.26
FINANCE,WB6_AVG,2024,2.81
TAX,ALB,2024,3.4
TAX,BIH,2024,2.9
TAX,KOS,2024,2.98
TAX,MNE,2024,2.98
TAX,MKD,2024,3.4
TAX,SRB,2024,3.2
TAX,WB6_AVG,2024,3.11
ENTERPRISE,ALB,2024,2.3
ENTERPRISE,BIH,2024,2.3
ENTERPRISE,KOS,2024,3
ENTERPRISE,MNE,2024,2.5
ENTERPRISE,MKD,2024,2.1
ENTERPRISE,SRB,2024,3
ENTERPRISE,WB6_AVG,2024,2.52
ANTI_CORRUPTION,ALB,2024,3.19
ANTI_CORRUPTION,BIH,2024,1.45
ANTI_CORRUPTION,KOS,2024,2.08
ANTI_CORRUPTION,MNE,2024,2.85
ANTI_CORRUPTION,MKD,2024,2.85
ANTI_CORRUPTION,SRB,2024,2.88
ANTI_CORRUPTION,WB6_AVG,2024,2.55
EDUCATION,ALB,2024,3.61
EDUCATION,BIH,2024,1.78
EDUCATION,KOS,2024,3.22
EDUCATION,MNE,2024,3.22
EDUCATION,MKD,2024,2.89
EDUCATION,SRB,2024,3.11
EDUCATION,WB6_AVG,2024,2.97
EMPLOYMENT,ALB,2024,3.46
EMPLOYMENT,BIH,2024,2.19
EMPLOYMENT,KOS,2024,2.04
EMPLOYMENT,MNE,2024,3.38
EMPLOYMENT,MKD,2024,3.08
EMPLOYMENT,SRB,2024,3.26
EMPLOYMENT,WB6_AVG,2024,2.9
INNOVATION,ALB,2024,2.39
INNOVATION,BIH,2024,1.41
INNOVATION,KOS,2024,1.67
INNOVATION,MNE,2024,2.94
INNOVATION,MKD,2024,2.83
INNOVATION,SRB,2024,3.56
INNOVATION,WB6_AVG,2024,2.46
DIGITAL,ALB,2024,2.73
DIGITAL,BIH,2024,1.69
DIGITAL,KOS,2024,2.55
DIGITAL,MNE,2024,2.55
DIGITAL,MKD,2024,2.14
DIGITAL,SRB,2024,3.18
DIGITAL,WB6_AVG,2024,2.47
TRANSPORT,ALB,2024,2.84
TRANSPORT,BIH,2024,1.53
TRANSPORT,KOS,2024,1.95
TRANSPORT,MNE,2024,2.5
TRANSPORT,MKD,2024,1.75
TRANSPORT,SRB,2024,2.77
TRANSPORT,WB6_AVG,2024,2.2
ENERGY,ALB,2024,3.46
ENERGY,BIH,2024,1.94
ENERGY,KOS,2024,3.27
ENERGY,MNE,2024,2.68
ENERGY,MKD,2024,3.5
ENERGY,SRB,2024,3.05
ENERGY,WB6_AVG,2024,2.97
ENVIRONMENT,ALB,2024,2.5
ENVIRONMENT,BIH,2024,1.91
ENVIRONMENT,KOS,2024,2.2
ENVIRONMENT,MNE,2024,2.4
ENVIRONMENT,MKD,2024,2.25
ENVIRONMENT,SRB,2024,2.5
ENVIRONMENT,WB6_AVG,2024,2.28
AGRICULTURE,ALB,2024,3.56
AGRICULTURE,BIH,2024,2.51
AGRICULTURE,KOS,2024,3.44
AGRICULTURE,MNE,2024,3.19
AGRICULTURE,MKD,2024,3.3
AGRICULTURE,SRB,2024,3.69
AGRICULTURE,WB6_AVG,2024,3.27
TOURISM,ALB,2024,2.8
TOURISM,BIH,2024,1.32
TOURISM,KOS,2024,2.26
TOURISM,MNE,2024,4.16
TOURISM,MKD,2024,1.95
TOURISM,SRB,2024,2.8
TOURISM,WB6_AVG,2024,2.54
