key,economy,year,score
INVESTMENT,ALB,2018,2.6
INVESTMENT,ALB,2021,3.1
INVESTMENT,ALB,2024,3.63
INVESTMENT,BIH,2018,2.1
INVESTMENT,BIH,2021,2.7
INVESTMENT,BIH,2024,2.79
INVESTMENT,KOS,2018,2.6
INVESTMENT,KOS,2021,2
INVESTMENT,KOS,2024,3.44
INVESTMENT,MNE,2018,2.6
INVESTMENT,MNE,2021,3.2
INVESTMENT,MNE,2024,3.38
INVESTMENT,MKD,2018,3.3
INVESTMENT,MKD,2021,3
INVESTMENT,MKD,2024,3.19
INVESTMENT,SRB,2018,3.4
INVESTMENT,SRB,2021,3.9
INVESTMENT,SRB,2024,4
INVESTMENT,WB6_AVG,2018,2.8
INVESTMENT,WB6_AVG,2021,3
INVESTMENT,WB6_AVG,2024,3.4
TRADE,ALB,2018,2.8
TRADE,ALB,2021,3.3
TRADE,ALB,2024,4
TRADE,BIH,2018,2.2
TRADE,BIH,2021,2.5
TRADE,BIH,2024,3.56
TRADE,KOS,2018,2.3
TRADE,KOS,2021,3.5
TRADE,KOS,2024,4.1
TRADE,MNE,2018,2.6
TRADE,MNE,2021,3.2
TRADE,MNE,2024,3.9
TRADE,MKD,2018,3.8
TRADE,MKD,2021,3.8
TRADE,MKD,2024,4.1
TRADE,SRB,2018,3.3
TRADE,SRB,2021,3.8
TRADE,SRB,2024,3.83
TRADE,WB6_AVG,2018,2.8
TRADE,WB6_AVG,2021,3.4
TRADE,WB6_AVG,2024,3.91
FINANCE,ALB,2018,2.5
FINANCE,ALB,2021,2.5
FINANCE,ALB,2024,3
FINANCE,BIH,2018,1.9
FINANCE,BIH,2021,2.3
FINANCE,BIH,2024,2.49
FINANCE,KOS,2018,2.4
FINANCE,KOS,2021,2.1
FINANCE,KOS,2024,2.26
FINANCE,MNE,2018,2.4
FINANCE,MNE,2021,2.7
FINANCE,MNE,2024,3
FINANCE,MKD,2018,3.1
FINANCE,MKD,2021,2.4
FINANCE,MKD,2024,2.86
FINANCE,SRB,2018,3.2
FINANCE,SRB,2021,3.3
FINANCE,SRB,2024,3.26
FINANCE,WB6_AVG,2018,2.6
FINANCE,WB6_AVG,2021,2.6
FINANCE,WB6_AVG,2024,2.81
TAX,ALB,2018,2.8
TAX,ALB,2021,2.8
TAX,ALB,2024,3.4
TAX,BIH,2018,1.4
TAX,BIH,2021,2.6
TAX,BIH,2024,2.9
TAX,KOS,2018,2.3
TAX,KOS,2021,3.4
TAX,KOS,2024,2.98
TAX,MNE,2018,2
TAX,MNE,2021,2.8
TAX,MNE,2024,2.98
TAX,MKD,2018,2.4
TAX,MKD,2021,3.3
TAX,MKD,2024,3.4
TAX,SRB,2018,2.6
TAX,SRB,2021,3.1
TAX,SRB,2024,3.2
TAX,WB6_AVG,2018,2.3
TAX,WB6_AVG,2021,3
TAX,WB6_AVG,2024,3.11
ENTERPRISE,ALB,2018,2.7
ENTERPRISE,ALB,2021,2.3
ENTERPRISE,ALB,2024,2.3
ENTERPRISE,BIH,2018,1.9
ENTERPRISE,BIH,2021,2
ENTERPRISE,BIH,2024,2.3
ENTERPRISE,KOS,2018,3.3
ENTERPRISE,KOS,2021,3.1
ENTERPRISE,KOS,2024,3
ENTERPRISE,MNE,2018,2.7
ENTERPRISE,MNE,2021,2.7
ENTERPRISE,MNE,2024,2.5
ENTERPRISE,MKD,2018,2.4
ENTERPRISE,MKD,2021,2.3
ENTERPRISE,MKD,2024,2.1
ENTERPRISE,SRB,2018,3.1
ENTERPRISE,SRB,2021,3.1
ENTERPRISE,SRB,2024,3
ENTERPRISE,WB6_AVG,2018,2.7
ENTERPRISE,WB6_AVG,2021,2.6
ENTERPRISE,WB6_AVG,2024,2.52
