key,economy,year,score
INVESTMENT_I01,ALB,2024,4.5
INVESTMENT_I01,BIH,2024,3.5
INVESTMENT_I01,KOS,2024,4.5
INVESTMENT_I01,MNE,2024,3.5
INVESTMENT_I01,MKD,2024,3.5
INVESTMENT_I01,SRB,2024,4.5
INVESTMENT_I01,WB6_AVG,2024,4
INVESTMENT_I02,ALB,2024,4
INVESTMENT_I02,BIH,2024,4.3
INVESTMENT_I02,KOS,2024,4
INVESTMENT_I02,MNE,2024,4.5
INVESTMENT_I02,MKD,2024,4
INVESTMENT_I02,SRB,2024,4.5
INVESTMENT_I02,WB6_AVG,2024,4.2
INVESTMENT_I03,ALB,2024,4.5
INVESTMENT_I03,BIH,2024,3
INVESTMENT_I03,KOS,2024,3
INVESTMENT_I03,MNE,2024,3
INVESTMENT_I03,MKD,2024,3.5
INVESTMENT_I03,SRB,2024,4
INVESTMENT_I03,WB6_AVG,2024,3.5
INVESTMENT_I04,ALB,2024,4
INVESTMENT_I04,BIH,2024,3.5
INVESTMENT_I04,KOS,2024,3
INVESTMENT_I04,MNE,2024,2.5
INVESTMENT_I04,MKD,2024,2.5
INVESTMENT_I04,SRB,2024,4
INVESTMENT_I04,WB6_AVG,2024,3.3
INVESTMENT_I05,ALB,2024,4
INVESTMENT_I05,BIH,2024,2
INVESTMENT_I05,KOS,2024,3.5
INVESTMENT_I05,MNE,2024,3.5
INVESTMENT_I05,MKD,2024,3.5
INVESTMENT_I05,SRB,2024,3.5
INVESTMENT_I05,WB6_AVG,2024,3.3
INVESTMENT_I06,ALB,2024,3
INVESTMENT_I06,BIH,2024,1.7
INVESTMENT_I06,KOS,2024,2.5
INVESTMENT_I06,MNE,2024,4
INVESTMENT_I06,MKD,2024,4
INVESTMENT_I06,SRB,2024,4.5
INVESTMENT_I06,WB6_AVG,2024,3.3
INVESTMENT_I07,ALB,2024,3
INVESTMENT_I07,BIH,2024,2.8
INVESTMENT_I07,KOS,2024,4
INVESTMENT_I07,MNE,2024,3.5
INVESTMENT_I07,MKD,2024,1
INVESTMENT_I07,SRB,2024,4
INVESTMENT_I07,WB6_AVG,2024,3.1
INVESTMENT_I08,ALB,2024,2
INVESTMENT_I08,BIH,2024,1.5
INVESTMENT_I08,KOS,2024,3
INVESTMENT_I08,MNE,2024,2.5
INVESTMENT_I08,MKD,2024,3.5
INVESTMENT_I08,SRB,2024,3
INVESTMENT_I08,WB6_AVG,2024,2.6
TRADE_I01,ALB,2024,4.5
TRADE_I01,BIH,2024,4.5
TRADE_I01,KOS,2024,4.5
TRADE_I01,MNE,2024,4.5
TRADE_I01,MKD,2024,4
TRADE_I01,SRB,2024,4.5
TRADE_I01,WB6_AVG,2024,4.4
TRADE_I02,ALB,2024,5
TRADE_I02,BIH,2024,4
TRADE_I02,KOS,2024,4.5
TRADE_I02,MNE,2024,4
TRADE_I02,MKD,2024,4.5
TRADE_I02,SRB,2024,4.5
TRADE_I02,WB6_AVG,2024,4.4
TRADE_I03,ALB,2024,4
TRADE_I03,BIH,2024,1.7
TRADE_I03,KOS,2024,3.5
TRADE_I03,MNE,2024,4
TRADE_I03,MKD,2024,4
TRADE_I03,SRB,2024,4
TRADE_I03,WB6_AVG,2024,3.5
TRADE_I04,ALB,2024,4.5
TRADE_I04,BIH,2024,3.5
TRADE_I04,KOS,2024,4.5
TRADE_I04,MNE,2024,4.5
TRADE_I04,MKD,2024,4.5
TRADE_I04,SRB,2024,2.5
TRADE_I04,WB6_AVG,2024,4
TRADE_I05,ALB,2024,3
TRADE_I05,BIH,2024,4.5
TRADE_I05,KOS,2024,4
TRADE_I05,MNE,2024,3
TRADE_I05,MKD,2024,4
TRADE_I05,SRB,2024,4
TRADE_I05,WB6_AVG,2024,3.8
TRADE_I06,ALB,2024,3
TRADE_I06,BIH,2024,3.2
TRADE_I06,KOS,2024,3.5
TRADE_I06,MNE,2024,3.5
