key,economy,year,score
INVESTMENT_S01,ALB,2024,4.3
INVESTMENT_S01,BIH,2024,3.6
INVESTMENT_S01,KOS,2024,3.8
INVESTMENT_S01,MNE,2024,3.7
INVESTMENT_S01,MKD,2024,3.7
INVESTMENT_S01,SRB,2024,4.3
INVESTMENT_S01,WB6_AVG,2024,3.9
INVESTMENT_S02,ALB,2024,3.7
INVESTMENT_S02,BIH,2024,2.4
INVESTMENT_S02,KOS,2024,3
INVESTMENT_S02,MNE,2024,3.3
INVESTMENT_S02,MKD,2024,3.3
INVESTMENT_S02,SRB,2024,4
INVESTMENT_S02,WB6_AVG,2024,3.3
INVESTMENT_S03,ALB,2024,2.5
INVESTMENT_S03,BIH,2024,2.2
INVESTMENT_S03,KOS,2024,3.5
INVESTMENT_S03,MNE,2024,3
INVESTMENT_S03,MKD,2024,2.3
INVESTMENT_S03,SRB,2024,3.5
INVESTMENT_S03,WB6_AVG,2024,2.8
TRADE_S01,ALB,2024,4.8
TRADE_S01,BIH,2024,4.3
TRADE_S01,KOS,2024,4.5
TRADE_S01,MNE,2024,4.3
TRADE_S01,MKD,2024,4.3
TRADE_S01,SRB,2024,4.5
TRADE_S01,WB6_AVG,2024,4.4
TRADE_S02,ALB,2024,4.3
TRADE_S02,BIH,2024,2.6
TRADE_S02,KOS,2024,4
TRADE_S02,MNE,2024,4.3
TRADE_S02,MKD,2024,4.3
TRADE_S02,SRB,2024,3.3
TRADE_S02,WB6_AVG,2024,3.8
TRADE_S03,ALB,2024,3
TRADE_S03,BIH,2024,3.8
TRADE_S03,KOS,2024,3.8
TRADE_S03,MNE,2024,3.3
TRADE_S03,MKD,2024,3.8
TRADE_S03,SRB,2024,3.8
TRADE_S03,WB6_AVG,2024,3.6
FINANCE_S01,ALB,2024,3.7
FINANCE_S01,BIH,2024,3.2
FINANCE_S01,KOS,2024,3.7
FINANCE_S01,MNE,2024,4
FINANCE_S01,MKD,2024,3.3
FINANCE_S01,SRB,2024,3.3
FINANCE_S01,WB6_AVG,2024,3.5
FINANCE_S02,ALB,2024,2.3
FINANCE_S02,BIH,2024,2.6
FINANCE_S02,KOS,2024,1.4
FINANCE_S02,MNE,2024,2.5
FINANCE_S02,MKD,2024,2.8
FINANCE_S02,SRB,2024,3
FINANCE_S02,WB6_AVG,2024,2.4
FINANCE_S03,ALB,2024,3
FINANCE_S03,BIH,2024,1.3
FINANCE_S03,KOS,2024,1.4
FINANCE_S03,MNE,2024,2.4
FINANCE_S03,MKD,2024,2.3
FINANCE_S03,SRB,2024,3.5
FINANCE_S03,WB6_AVG,2024,2.3
TAX_S01,ALB,2024,3.1
TAX_S01,BIH,2024,2.8
TAX_S01,KOS,2024,1.9
TAX_S01,MNE,2024,2.2
TAX_S01,MKD,2024,2.7
TAX_S01,SRB,2024,2.1
TAX_S01,WB6_AVG,2024,2.5
TAX_S02,ALB,2024,3.7
TAX_S02,BIH,2024,2.9
TAX_S02,KOS,2024,4.2
TAX_S02,MNE,2024,3.9
TAX_S02,MKD,2024,4
TAX_S02,SRB,2024,4.2
TAX_S02,WB6_AVG,2024,3.8
ENTERPRISE_S01,ALB,2024,1.9
ENTERPRISE_S01,BIH,2024,2.2
ENTERPRISE_S01,KOS,2024,2.9
ENTERPRISE_S01,MNE,2024,2.2
ENTERPRISE_S01,MKD,2024,1.8
ENTERPRISE_S01,SRB,2024,2.9
ENTERPRISE_S01,WB6_AVG,2024,2.3
ENTERPRISE_S02,ALB,2024,2.6
ENTERPRISE_S02,BIH,2024,2.4
ENTERPRISE_S02,KOS,2024,3
ENTERPRISE_S02,MNE,2024,2.6
ENTERPRISE_S02,MKD,2024,2.4
ENTERPRISE_S02,SRB,2024,3
ENTERPRISE_S02,WB6_AVG,2024,2.7
ENTERPRISE_S03,ALB,2024,2.8
ENTERPRISE_S03,BIH,2024,2.3
ENTERPRISE_S03,KOS,2024,3
ENTERPRISE_S03,MNE,2024,3
ENTERPRISE_S03,MKD,2024,2.3
ENTERPRISE_S03,SRB,2024,3.3
